0,65;4;23,5;201,0000;52,0000;1.360.953,4782;-354.715,2286;-257.602,6338;249,49;563.092,2999;1.737.411,4445;-483.630,7163;-531.997,1847;-530.738,2276;2.279.236,6634;697.081,0498;19.873,1668;1.645.618,3304;-327.431,1034;0,49;0,28;-29.442,6748;-10.781,3570;2.102.251,6584;-395.657,9721;1.873.879,8532;-604.690,5423;265,74;-385.738,1834;-526.791,0483;906.371,0865;-816.292,7194;957.164,2279;839.582,7522;145,34;209,45;657.836,9945;983.911,6515;666.579,6478;225.698,5197
0,7;4;24,5;40,0000;4.875,0000;-37.515,4087;94.967,0439;276.854,1012;324,88;2.271.013,4014;254.938,7372;-722.516,3580;742.370,5100;678.273,8328;481.674,3919;-254.060,9740;-456.343,4714;1.795.030,8501;401.379,5330;0,70;0,04;832.513,9617;1.028.579,0932;2.078.218,4616;1.471.849,6265;1.441.981,2923;1.138.396,9976;326,65;-679.306,6822;48.118,4815;1.894.700,3858;808.366,4777;1.939.289,8938;76.986,5647;356,37;51,31;1.606.946,7005;2.470.315,3459;2.050.629,2098;1.244.004,7417
0,75;4;25,5;121,0000;3.412,0000;1.401.286,0824;1.874.465,1097;1.616.381,8907;137,21;79.090,5341;-542.092,2280;-886.388,6090;-686.838,8437;-545.784,3345;2.488.883,9692;-610.713,8149;525.371,7499;821.222,0782;-92.207,8082;0,71;0,08;-541.339,4159;510.174,7055;2.403.751,2396;1.774.101,3325;-3.969,3074;1.157.688,2963;89,53;-200.453,9591;2.007.752,8916;159.565,1190;-404.554,0163;1.169.788,8627;1.224.477,8384;205,35;41,23;2.469.849,3546;-519.119,9107;-327.444,3069;1.805.669,8741
0,8;4;26,5;127,0000;3.119,0000;942.262,3930;-821.463,4267;6.044,6180;283,01;983.250,9630;-831.113,3149;-853.725,0879;504.185,9362;696.040,8345;-911.079,2023;-932.151,5774;1.492.679,9859;164.875,6835;-320.057,8787;0,23;0,28;-426.990,9513;-216.287,3646;-648.381,6864;861.821,1260;2.336.623,9555;-369.461,6370;112,20;2.235.296,8219;-936.713,0419;-874.270,5469;2.201.527,6102;-242.048,5439;312.330,1502;79,67;249,79;-559.328,7459;2.126.634,5318;2.047.481,3055;-534.078,8358
0,85;4;27,5;319,0000;6.271,0000;816.355,9970;163.957,7041;-240.321,6023;174,75;1.606.749,5438;2.048.306,1727;724.962,9773;967.014,5705;226.146,2249;1.065.268,8428;1.812.106,7662;1.730.216,0867;292.906,0608;-944.786,2895;0,57;0,25;246.644,7915;1.141.311,4952;1.223.003,5759;1.331.946,6202;538.510,4023;1.442.090,5914;186,10;517.854,1317;640.278,4362;770.583,3801;231.885,4243;-99.088,9469;1.811.734,3884;156,57;122,95;2.019.410,9732;1.321.119,2091;2.215.339,6607;538.519,3419
0,9;4;28,5;125,0000;1.973,0000;-212.908,8557;-92.111,8140;131.781,9815;96,37;-906.672,1200;1.774.250,9300;2.045.478,2892;1.738.270,5819;2.192.158,4770;1.029.003,7079;-207.370,0620;435.914,7300;2.018.837,8224;1.261.690,7225;0,84;0,91;-778.101,3152;336.867,8492;2.393.862,2580;1.221.700,8353;-542.441,6180;1.598.392,6615;125,44;-368.820,3802;-386.533,8621;-599.447,1196;1.229.524,1246;-295.484,8339;590.345,3000;23,65;319,65;-915.854,5268;136.314,9880;2.180.942,9648;1.534.689,9687
0,95;4;29,5;43,0000;5.364,0000;698.457,5532;1.718.478,6402;-837.422,6853;144,11;1.007.618,8877;86.723,4631;1.892.655,1177;540.591,2481;1.871.331,3591;311.485,0773;2.130.663,4419;-170.061,7095;-572.802,3588;1.178.020,7144;0,26;0,51;1.859.612,3612;-636.219,2747;211.583,7068;-886.752,6240;479.002,9097;2.133.431,1547;59,22;-510.809,7773;-693.255,0046;2.060.631,7971;1.673.877,3560;2.317.087,9100;1.977.391,7754;65,06;259,63;1.145.460,7809;-378.840,6306;923.021,9076;2.206.453,7738
1;4;30,5;290,0000;1.201,0000;22.236,2734;2.075.522,1106;443.158,5515;343,19;528.508,5314;638.993,3408;2.258.050,8337;1.973.872,3048;1.788.003,1245;-618.442,4194;2.391.910,7829;581.748,3695;490.864,3877;-350.175,2878;0,65;0,86;307.217,0626;761.751,5015;1.542.804,2069;380.977,4226;-136.533,0982;-333.634,3666;38,74;1.752.402,2321;-957.720,1508;917.968,8278;45.925,0426;2.463.972,6721;106.385,6094;166,10;38,75;-663.615,7618;1.416.726,8889;1.218.649,5996;400.634,8064
1,05;4;31,5;12,0000;3.828,0000;-728.972,1765;-300.777,0943;-822.590,4457;205,60;-17.975,4243;-926.169,8712;607.326,3530;1.502.982,2974;2.061.317,7159;2.176.767,9055;55.099,1881;656.822,9850;1.540.488,7232;2.324.188,0678;0,57;0,51;-272.577,8969;648.670,2744;-335.428,9194;595.301,2308;1.709.086,5573;2.388.826,3325;303,76;951.121,6875;1.394.002,3225;1.231.244,1181;1.720.116,0442;1.477.711,9238;2.273.153,4270;39,76;125,19;908.185,0604;1.954.433,0686;486.431,4142;1.084.609,1845
1,1;4;32,5;116,0000;7.386,0000;2.030.927,3234;-338.777,9213;-710.031,2333;203,74;166.069,9831;460.217,5869;1.444.966,4630;-519.371,6432;1.233.745,2996;-902.993,5525;1.396.762,1273;-762.037,6652;687.107,4976;1.820.618,6849;0,48;0,55;-815.015,3863;1.146.428,7642;696.653,2858;1.821.089,8416;673.451,7949;1.596.292,9868;255,88;1.578.236,5716;-747.614,0922;1.411.613,9623;1.387.150,8990;-562.451,2194;1.622.008,6405;261,47;178,44;1.764.302,4460;1.122.440,4052;197.335,5781;-666.859,6331
1,15;4;33,5;204,0000;6.787,0000;1.057.801,0382;772.592,3677;-623.337,8973;132,34;690.265,2097;2.024.460,9900;1.818.483,6052;-736.955,0246;-64.308,7305;2.313.668,0634;-745.126,7682;1.636.020,4500;289.021,6257;1.883.934,0793;0,99;0,35;-471.298,7789;604.112,4039;2.271.488,6314;-988.772,7494;325.088,2374;1.587.224,2757;55,42;-431.598,3484;2.075.129,7641;1.452.222,8958;1.208.101,4087;2.102.393,1878;164.655,7163;306,87;186,35;-455.006,2076;2.234.809,6326;-282.455,5358;-522.787,9184
1,2;4;34,5;15,0000;4.737,0000;1.568.295,1067;-397.895,3850;299.563,3728;5,20;1.324.543,6206;2.216.939,1011;2.168.137,6460;813.140,3360;1.114.576,3658;2.438.801,7041;253.545,2084;-365.721,0526;1.988.011,0807;1.582.312,2354;0,87;0,54;-517.177,6255;870.159,6833;840.213,3032;-436.999,0829;10.177,4112;1.534.748,8743;111,64;-333.248,8212;2.049.867,1367;1.444.996,6059;1.688.378,3871;687.158,7506;1.267.458,4354;227,75;106,21;551.433,1035;1.854.978,8807;2.317.454,5031;169.441,7005
1,25;4;35,5;44,0000;2.793,0000;1.370.727,2844;-239.615,9044;-873.991,8630;51,02;-375.807,4239;-155.199,5481;-981.771,7263;1.442.016,2711;1.394.107,1610;691.610,1597;1.920.167,1946;1.514.394,4508;872.454,9809;-178.508,4745;0,82;0,20;2.041.618,6686;1.480.411,3206;-562.637,7675;-451.168,8600;607.677,6067;1.768.820,7635;270,24;979.302,5778;1.502.168,7958;749.696,1984;-369.177,6573;425.890,5183;451.848,2262;61,76;300,72;-75.624,0652;712.202,2858;312.465,4092;-959.214,0178
1,3;4;36,5;78,0000;7.341,0000;-348.395,8017;2.203.931,2863;791.109,5682;330,58;-619.009,0711;-598.301,7134;2.163.616,1888;1.792.049,1751;524.683,6213;277.844,3651;-84.778,3690;1.788.340,9972;1.583.963,0449;179.040,4834;0,01;0,65;-469.217,7603;-218.328,9967;1.763.381,4549;580.129,8018;39.272,9458;-365.967,4126;90,44;2.457.131,4272;-495.628,6835;1.854.823,7021;406.267,1358;591.457,7973;-708.212,1278;217,76;207,73;1.814.876,4628;-529.114,2856;2.140.663,3554;27.199,2725
1,35;4;37,5;299,0000;7.255,0000;547.923,0532;200.783,1857;1.142.057,9313;65,82;448.941,0550;208.461,1338;-44.609,1309;1.798.752,3482;459.305,4464;803.884,1129;620.199,4051;690.792,7024;-240.739,1456;-518.009,9816;0,17;0,92;1.617.389,9186;-101.840,1634;-664.731,1176;1.048.802,1638;594.196,9856;-768.204,7000;183,43;285.088,0897;177.640,2672;908.614,4131;2.203.026,4818;1.090.829,9955;-340.575,4300;34,97;153,03;-809.985,7987;1.224.496,6875;1.681.968,6787;2.154.772,5135
1,4;4;38,5;55,0000;3.375,0000;-270.019,1724;2.241.669,3334;2.258.928,4639;139,49;-731.104,7380;1.110.976,8736;285.120,9549;832.645,5128;1.252.153,4643;1.606.986,4443;-920.276,3580;1.929.143,9729;1.951.768,3857;33.901,5126;0,50;0,63;749.284,8112;95.565,9376;-610.556,4750;1.758.563,3940;341.045,8242;422.476,7389;79,36;1.587.927,0275;1.088.972,9117;-196.490,2742;1.839.022,2773;713.340,7482;1.884.875,8928;317,74;161,57;-340.477,8803;1.884.799,3874;502.387,8179;1.938.955,6380
1,45;4;39,5;80,0000;5.730,0000;973.400,9907;-74.250,6196;21.915,3916;298,84;343.905,1188;1.951.467,2397;570.202,4654;-212.061,5201;680.416,2198;142.991,6951;1.768.171,4082;712.063,6234;516.895,3213;2.160.306,0653;0,76;0,82;-908.745,9997;1.045.891,3208;1.317.581,5978;1.322.216,4978;-890.852,3026;2.447.213,1850;193,62;-82.000,9232;2.412.511,8744;-665.924,9610;-92.166,3135;33.366,1105;2.184.111,0815;136,11;245,00;-593.521,7446;1.420.474,9633;1.003.900,4938;-243.931,6037
1,5;4;40,5;96,0000;4.780,0000;1.451.321,2162;1.735.470,4209;2.487.104,8577;4,64;1.082.270,4157;1.266.792,4700;55.566,3816;2.457.293,8636;2.383.640,9697;-263.348,6743;-261.762,5260;-125.598,6780;2.340.607,9968;2.279.189,4074;0,85;0,26;-486.338,8830;-665.520,9663;827.961,9645;2.317.475,8757;1.251.896,9570;1.027.889,0173;244,02;2.034.139,1012;956.990,7929;1.648.496,7358;864.258,7398;810.391,8070;1.021.702,4796;184,63;221,65;-770.280,2415;-945.336,2865;2.465.891,1056;2.491.151,1175
1,55;4;41,5;191,0000;6.452,0000;1.125.485,6140;-858.585,0791;963.885,0247;121,88;-120.211,0473;2.168.235,5311;-940.827,7236;621.033,0747;-313.215,6725;174.821,9710;732.444,7020;483.313,2766;-139.949,3046;703.730,1232;0,02;0,40;875.962,9973;473.331,3101;2.399.800,8019;1.376.427,7532;1.207.078,7601;1.946.549,0317;279,09;-542.818,9654;2.139.199,0938;678.317,8720;1.487.302,5141;-191.850,1529;573.227,9071;88,20;103,23;753.746,1419;-506.069,1543;-7.580,5026;1.376.153,2233
1,6;4;42,5;210,0000;3.096,0000;1.813.126,0772;1.904.526,8482;607.088,7683;15,87;-923.664,6437;668.529,5474;2.317.434,5659;-244.593,6219;-385.090,9775;2.476.333,8628;1.974.495,2927;902.080,6671;1.501.997,1535;1.720.293,0951;0,50;0,87;315.847,7980;535.174,0437;1.956.132,9035;1.452.108,0823;119.624,6949;1.775.036,0447;9,67;796.887,4134;2.189.587,5662;813.926,2954;-575.755,8422;2.146.044,6569;-318.487,4968;206,22;125,97;2.154.796,2723;1.031.454,3052;2.380.184,3543;-658.891,7573
1,65;4;43,5;85,0000;31,0000;-574.220,5106;-217.641,4291;-98.062,5241;312,93;527.462,4341;-179.268,0049;708.089,5583;30.591,8553;2.284.827,1583;2.146.641,1358;1.447.200,8710;809.382,3208;2.463.333,1976;-269.944,1663;0,69;0,03;1.423.461,7522;1.641.678,3500;1.210.836,2470;594.966,3923;-37.937,5282;-761.119,7483;293,09;1.665.606,5133;1.614.760,0266;2.300.203,6602;-318.806,4671;556.503,6175;-345.547,4791;213,79;227,71;2.399.518,3657;2.217.216,4593;2.437.471,7074;-549.771,6902
1,7;4;44,5;251,0000;202,0000;-911.706,3326;-200.978,9071;2.098.839,0757;250,00;2.269.125,8606;139.073,8681;116.216,6256;894.600,3826;2.292.059,8468;-225.097,8738;524.925,7600;1.650.151,9030;1.921.177,5946;1.758.421,6552;0,68;0,56;2.235.564,5961;1.691.266,5182;268.808,9394;2.465.494,1328;2.127.525,0492;1.112.234,8540;245,51;-716.702,9409;-530.053,8513;930.359,2498;-636.103,4586;-178.609,4681;-847.283,8077;274,90;8,58;-134.555,6906;22.023,9880;1.854.994,2131;1.126.892,9275
1,75;4;45,5;347,0000;1.852,0000;592.581,6508;1.771.467,8028;-681.477,6078;356,57;315.594,3738;-240.330,2016;-363.343,7076;441.060,4540;1.059.070,7696;-556.257,0030;-378.627,1620;295.493,8626;-983.097,1042;2.049.402,8135;0,62;0,77;-120.570,5619;2.275.722,7646;860.559,3935;862.921,7490;-827.970,9048;814.636,6546;265,11;801.476,2542;187.286,9328;108.452,4593;532.226,2784;2.124.335,0725;1.231.810,4252;94,11;15,82;297.477,0708;2.300.682,8188;675.368,0739;543.096,0067
1,8;4;46,5;144,0000;7.125,0000;-327.934,5175;1.093.066,0358;847.169,9400;275,00;105.857,4467;1.606.186,3949;1.538.134,0856;424.935,7512;1.774.444,4882;978.868,4009;924.673,4027;666.004,0738;1.020.507,7998;2.224.053,8258;0,61;0,53;331.915,0664;954.742,4661;330.150,3542;-700.095,5845;-885.356,4567;1.424.978,5726;114,91;-150.645,8056;-208.101,0521;2.176.320,5657;-13.327,2474;591.461,4264;-252.066,2134;235,11;226,42;401.762,2246;-47.673,1471;735.784,1129;-943.710,2695
1,85;4;47,5;67,0000;2.976,0000;665.307,0384;1.344.471,2891;-413.498,3361;292,84;-207.853,6724;880.489,6624;1.773.656,9054;-114.508,9346;853.960,1525;339.832,6155;560.941,0161;-638.420,5468;-670.105,4639;-466.227,0169;0,56;0,84;6.705,7805;391.494,4879;-84.529,8740;1.120.425,7548;2.167.431,4559;-132.565,2394;333,95;2.152.837,5916;532.312,3562;1.475.853,8248;164.088,2828;-217.603,1055;2.276.094,7977;161,98;168,72;-417.238,1151;-33.058,5949;721.394,6292;39.797,9488
1,9;4;48,5;189,0000;7.011,0000;1.711.195,8534;2.359.514,1229;2.224.518,3345;106,22;1.460.113,3177;910.495,0803;-348.679,8393;751.561,2651;-670.401,9774;2.147.042,0129;-479.312,3849;-785.851,4558;-769.057,5787;-625.633,6674;0,42;0,29;298.554,8531;18.175,6323;2.250.813,5335;2.012.444,1957;1.037.169,3628;506.682,8415;53,62;26.134,9308;1.345.624,1083;438.769,4660;354.200,7076;155.572,9496;991.055,3974;130,13;88,89;2.062.587,1219;501.541,3591;81.698,8935;975.145,0799
1,95;4;49,5;152,0000;5.791,0000;77.423,3796;1.305.677,7426;-71.188,7363;204,28;849.953,5368;-897.122,3931;2.040.484,2895;-902.023,4163;-532.200,4762;722.260,1157;1.180.667,7101;1.651.212,5433;-152.003,0713;-331.102,5881;0,03;0,63;840.858,3833;8.100,2760;-729.569,1258;-416.221,1411;1.336.177,3241;2.091.043,4609;46,56;964.890,6508;-902.679,8508;1.055.459,2888;31.948,5002;675.032,4567;557.175,0789;329,64;22,95;1.162.182,3757;-229.844,7555;2.327.532,5422;-322.529,9468
2;4;50,5;177,0000;7.321,0000;-876.583,3685;-788.092,1912;1.414.942,5860;41,04;398.833,6287;2.001.419,7039;1.640.071,4470;1.976.408,6722;678.617,2082;795.126,2921;2.132.762,8198;10.316,2411;2.054.214,5350;-194.605,5424;0,80;0,91;928.239,1325;830.151,4184;1.638.477,5163;-995.375,9394;361.463,6015;687.486,0210;68,99;1.847.333,9638;1.329.822,0260;317.436,3280;1.371.553,5668;224.647,2859;2.211.246,7946;24,35;47,39;1.991.515,9267;-714.215,0667;1.852.985,3044;2.089.697,2787
2,05;4;51,5;355,0000;399,0000;136.377,6863;-546.221,5817;-165.998,5356;215,25;2.448.830,8364;1.189.340,3683;1.633.792,0937;-164.645,1022;2.232.698,6677;1.051.358,4998;2.439.047,2949;1.511.183,5584;91.992,6430;1.787.502,5996;0,25;0,22;-462.536,3688;-419.611,0931;-286.293,9714;670.389,8252;-818.876,6867;1.696.412,1761;232,26;14.870,1200;1.001.298,6848;89.696,9829;-28.486,1799;412.977,7102;2.499.327,5105;6,59;71,48;2.378.742,4267;2.120.317,3667;1.863.730,5177;1.694.685,7518
2,1;4;52,5;120,0000;3.042,0000;-499.160,7376;-461.834,5648;421.692,4089;162,14;537.610,2996;2.412.462,7461;1.459.857,9781;1.886.182,6221;1.508.176,8741;2.263.821,4234;1.569.602,6236;966.514,6883;1.085.928,7650;2.149.594,9901;0,84;0,64;-838.179,1491;-725.443,3566;2.469.282,8585;1.334.332,5957;-958.939,9234;1.949.811,9632;88,17;1.149.155,5907;-355.321,9728;-574.574,7674;440.516,9801;1.017.742,7955;2.294.512,6509;311,37;147,35;332.023,6217;1.081.466,4127;508.608,1845;1.799.373,5131
2,15;4;53,5;181,0000;4.318,0000;1.077.967,5306;1.016.222,9954;742.342,2812;45,54;1.936.632,7150;684.194,1286;296.889,6343;784.190,0475;1.979.064,4120;-429.527,8359;-6.623,3217;-606.222,0612;-405.800,7736;1.667.460,2227;0,60;0,25;662.011,9480;1.545.532,6363;-18.321,0968;516.636,6536;-207.658,5869;-606.907,5084;288,36;-499.723,3112;775.952,7740;1.688.686,0598;1.106.421,5663;-222.107,9456;-637.255,8427;358,77;316,39;1.471.990,6231;724.971,7105;2.129.776,9895;454.514,6203
2,2;4;54,5;283,0000;6.401,0000;174.688,0593;172.183,0173;-826.572,1688;256,54;1.029.903,4981;-123.861,1436;-439.510,6481;-459.345,2709;2.406.993,3769;2.028.427,2064;761.613,0080;1.189.230,3463;446.809,6324;-747.707,9197;0,49;0,87;983.311,8356;-917.983,5931;1.392.198,3907;630.252,4411;34.270,7627;124.228,0186;313,79;-636.423,3604;60.077,9048;2.252.543,3450;1.226.354,9622;1.401.241,0054;1.568.698,6179;81,64;299,56;1.350.321,5594;83.429,1312;1.284.833,3093;196.485,6903
2,25;4;55,5;336,0000;5.695,0000;1.697.688,0199;2.070.305,5105;2.484.144,4233;115,20;1.274.544,0915;1.929.273,1043;299.826,9368;1.791.686,5610;320.175,8837;-722.609,2997;2.374.375,1451;-571.506,6224;-807.812,2958;2.336.224,6212;0,64;0,59;469.410,6564;-983.096,6149;179.713,5717;-921.216,5466;-918.428,3915;656.935,0435;213,65;-195.883,1035;2.479.038,7462;242.066,1252;1.027.215,2771;1.444.872,5478;248.569,1194;100,78;267,60;796.574,7821;-956.826,5316;1.826.900,1768;699.687,2686
2,3;4;56,5;136,0000;7.463,0000;-500.612,8309;-166.971,1675;847.761,9482;9,37;-741.670,9027;2.052.908,7303;879.711,9546;457.713,7477;1.100.242,1259;30.556,6870;-326.825,5792;2.409.309,6192;523.826,2391;2.310.156,0320;0,99;0,90;912.160,5566;1.789.932,9881;1.666.804,3669;106.500,0399;128.738,2277;-392.733,6866;207,17;1.588.532,9536;-743.553,0899;1.354.959,8975;-730.805,6245;771.687,0122;1.136.703,3249;164,21;175,17;1.152.019,6277;335.155,5306;1.793.984,8888;986.974,6244
